year,month,date,value
2011,Jan,01/01/2011,3.68
2011,Feb,01/02/2011,3.59
2011,Mar,01/03/2011,3.04
2011,Apr,01/04/2011,1.17
2011,May,01/05/2011,2.63
2011,Jun,01/06/2011,5.78
2011,Jul,01/07/2011,3.5
2011,Aug,01/08/2011,3.29
2011,Sep,01/09/2011,1.86
2011,Oct,01/10/2011,2.73
2011,Nov,01/11/2011,1.62
2011,Dec,01/12/2011,0.49
2012,Jan,01/01/2012,8.5
2012,Feb,01/02/2012,1.06
2012,Mar,01/03/2012,3.36
2012,Apr,01/04/2012,0.91
2012,May,01/05/2012,6.9
2012,Jun,01/06/2012,16.34
2012,Jul,01/07/2012,2.74
2012,Aug,01/08/2012,9.95
2012,Sep,01/09/2012,6.26
2012,Oct,01/10/2012,0.89
2012,Nov,01/11/2012,0.05
2012,Dec,01/12/2012,6.93
2013,Jan,01/01/2013,0.33
2013,Feb,01/02/2013,1.64
2013,Mar,01/03/2013,0.98
2013,Apr,01/04/2013,3.48
2013,May,01/05/2013,4.57
2013,Jun,01/06/2013,6.25
2013,Jul,01/07/2013,16.65
2013,Aug,01/08/2013,2.8
2013,Sep,01/09/2013,3.2
2013,Oct,01/10/2013,0.08
2013,Nov,01/11/2013,3.31
2013,Dec,01/12/2013,3.8
2014,Jan,01/01/2014,5.2
2014,Feb,01/02/2014,4.37
2014,Mar,01/03/2014,5.5
2014,Apr,01/04/2014,2.63
2014,May,01/05/2014,2.84
2014,Jun,01/06/2014,4.52
2014,Jul,01/07/2014,6.8
2014,Aug,01/08/2014,5.21
2014,Sep,01/09/2014,7.28
2014,Oct,01/10/2014,1.55
2014,Nov,01/11/2014,2.47
2014,Dec,01/12/2014,3.38
2015,Jan,01/01/2015,3.24
2015,Feb,01/02/2015,2.02
2015,Mar,01/03/2015,1.17
2015,Apr,01/04/2015,3.22
2015,May,01/05/2015,2.54
2015,Jun,01/06/2015,3.61
2015,Jul,01/07/2015,8.09
2015,Aug,01/08/2015,11.48
2015,Sep,01/09/2015,6.07
2015,Oct,01/10/2015,1.02
2015,Nov,01/11/2015,2.75
2015,Dec,01/12/2015,1.97
2016,Jan,01/01/2016,2.73
2016,Feb,01/02/2016,4.12
2016,Mar,01/03/2016,2.35
2016,Apr,01/04/2016,1.66
2016,May,01/05/2016,4.08
2016,Jun,01/06/2016,9.99
2016,Jul,01/07/2016,1.49
2016,Aug,01/08/2016,3.3
2016,Sep,01/09/2016,7.97
2016,Oct,01/10/2016,1.65
2016,Nov,01/11/2016,0.02
2016,Dec,01/12/2016,2.69
2017,Jan,01/01/2017,1.45
2017,Feb,01/02/2017,0.39
2017,Mar,01/03/2017,0.67
2017,Apr,01/04/2017,2.74
2017,May,01/05/2017,4.45
2017,Jun,01/06/2017,16.86
2017,Jul,01/07/2017,16.7
2017,Aug,01/08/2017,5.79
2017,Sep,01/09/2017,15.28
2017,Oct,01/10/2017,1.57
2017,Nov,01/11/2017,2.76
2017,Dec,01/12/2017,2.65
2018,Jan,01/01/2018,4.32
2018,Feb,01/02/2018,1.58
2018,Mar,01/03/2018,2.41
2018,Apr,01/04/2018,7.49
2018,May,01/05/2018,8.38
2018,Jun,01/06/2018,5.55
2018,Jul,01/07/2018,6.69
2018,Aug,01/08/2018,8.69
2018,Sep,01/09/2018,3.07
2018,Oct,01/10/2018,0.61
2018,Nov,01/11/2018,2.81
2018,Dec,01/12/2018,8.68
2019,Jan,01/01/2019,5.42
2019,Feb,01/02/2019,1.01
2019,Mar,01/03/2019,1.87
2019,Apr,01/04/2019,2.42
2019,May,01/05/2019,2.65
2019,Jun,01/06/2019,9.61
2019,Jul,01/07/2019,4.27
2019,Aug,01/08/2019,10.06
2019,Sep,01/09/2019,0.93
2019,Oct,01/10/2019,3.59
2019,Nov,01/11/2019,1.83
2019,Dec,01/12/2019,6.04
2020,Jan,01/01/2020,0.76
2020,Feb,01/02/2020,2.44
2020,Mar,01/03/2020,0.64
2020,Apr,01/04/2020,5.84
2020,May,01/05/2020,5.41
2020,Jun,01/06/2020,8.47
2020,Jul,01/07/2020,6.26
2020,Aug,01/08/2020,7
2020,Sep,01/09/2020,7.6
2020,Oct,01/10/2020,1.74
2020,Nov,01/11/2020,2.41
2020,Dec,01/12/2020,1.89
2021,Jan,01/01/2021,0.44
2021,Feb,01/02/2021,6.01
2021,Mar,01/03/2021,3.24
2021,Apr,01/04/2021,4.11
2021,May,01/05/2021,1.1
2021,Jun,01/06/2021,11.38
2021,Jul,01/07/2021,13.99
2021,Aug,01/08/2021,8.21
2021,Sep,01/09/2021,8.67
2021,Oct,01/10/2021,1.84
2021,Nov,01/11/2021,3.36
2021,Dec,01/12/2021,2.88
2022,Jan,01/01/2022,0.88
2022,Feb,01/02/2022,1.56
2022,Mar,01/03/2022,12.59
2022,Apr,01/04/2022,1.61
2022,May,01/05/2022,3.77
2022,Jun,01/06/2022,3.29
2022,Jul,01/07/2022,10.09
2022,Aug,01/08/2022,11.73
2022,Sep,01/09/2022,3.76
2022,Oct,01/10/2022,0.16
2022,Nov,01/11/2022,3.95
2022,Dec,01/12/2022,1.64
2023,Jan,01/01/2023,1.65
2023,Feb,01/02/2023,2.46
2023,Mar,01/03/2023,4.68
2023,Apr,01/04/2023,4.6
2023,May,01/05/2023,4.11
2023,Jun,01/06/2023,11.79
2023,Jul,01/07/2023,4.57
2023,Aug,01/08/2023,6.14
2023,Sep,01/09/2023,3.8
2023,Oct,01/10/2023,3.73
2023,Nov,01/11/2023,2.39
2023,Dec,01/12/2023,5.9
2024,Jan,01/01/2024,3.44
2024,Feb,01/02/2024,2.45
2024,Mar,01/03/2024,3.2
2024,Apr,01/04/2024,3.13
2024,May,01/05/2024,1.59
2024,Jun,01/06/2024,6.92
2024,Jul,01/07/2024,8.87
2024,Aug,01/08/2024,10.82
2024,Sep,01/09/2024,7.61
2024,Oct,01/10/2024,4.79
2024,Nov,01/11/2024,0.17
2024,Dec,01/12/2024,1.38
